model,train_mse,test_mse,train_rmse,test_rmse,train_mae,test_mae
Linear Regression,4709785076.060029,4477408708.672435,68627.87390018745,66913.4419132093,49438.66860915803,49234.73616908932
Decision Tree Regressor,0.0,4927561790.790456,0.0,70196.59386886557,0.0,45485.99394379845
Random Search Random Forest,327791243.32529086,2227338219.895484,18105.006029418793,47194.68423345456,11864.200882859604,31524.307583710164
Grid Search Random Forest,370131581.3586982,2244948910.7314906,19238.80405219353,47380.89183132258,12532.312948158915,31963.79261143411
